state,district,latitude,longitude
Andaman And Nicobar Islands,Nicobars,8.06983325,93.41021574999999
Andaman And Nicobar Islands,North And Middle Andaman,12.64553258375,92.88506331875
Andaman And Nicobar Islands,South Andamans,11.60476681,92.71140930384617
Andhra Pradesh,Alluri Sitharama Raju,17.743090133333336,82.13791722790698
Andhra Pradesh,Anakapalli,17.715034326978415,82.63136789244604
Andhra Pradesh,Anantapur,14.981684602283298,77.00586637192389
Andhra Pradesh,Annamayya,13.747478463378378,78.40472663972973
Andhra Pradesh,Bapatla,15.931277733930347,80.25020799820895
Andhra Pradesh,Chittoor,13.498657774096387,78.86179536773494
Andhra Pradesh,East Godavari,17.194907490862946,81.86728831593909
Andhra Pradesh,Eluru,18.656786242054793,81.13882787347032
Andhra Pradesh,Guntur,16.32620958522727,80.45880474940908
Andhra Pradesh,Kakinada,17.1131290472,82.1927103048
Andhra Pradesh,Konaseema,16.715763267460318,81.94003094626984
Andhra Pradesh,Krishna,16.429881353723726,80.3397294600044
Andhra Pradesh,Kurnool,14.351343559322034,71.07963840694916
Andhra Pradesh,Nandyal,15.447306157333333,78.3688537295
Andhra Pradesh,Ntr,17.277933848373983,80.19072639065041
Andhra Pradesh,Palnadu,16.34564914447005,79.89334112211982
Andhra Pradesh,Parvathipuram Manyam,72.37356052027972,29.828822052797204
Andhra Pradesh,Prakasam,15.604771639709378,79.35979786652575
Andhra Pradesh,Spsr Nellore,14.869234054915253,79.33019565677967
Andhra Pradesh,Sri Sathya Sai,14.145397459230768,77.68069841211539
Andhra Pradesh,Srikakulam,21.454094254743396,80.94224020615512
Andhra Pradesh,Tirupati,13.980472083068783,79.79736037936507
Andhra Pradesh,Visakhapatanam,17.855642914976524,82.77590181807511
Andhra Pradesh,Vizianagaram,35.68221440980392,65.84141242549019
Andhra Pradesh,West Godavari,16.861842815544147,81.23249318310062
Andhra Pradesh,Y.S.R.,14.621387048275862,78.62681048801313
Arunachal Pradesh,Anjaw,27.887840364150943,96.53313826792453
Arunachal Pradesh,Changlang,27.248575748484846,96.00458601212121
Arunachal Pradesh,Dibang Valley,28.294399846753247,95.72541908051947
Arunachal Pradesh,East Kameng,28.002606015789475,92.38621103684211
Arunachal Pradesh,East Siang,28.047249385957446,95.14179147106384
Arunachal Pradesh,Kamle,27.76725675,94.03281240000001
Arunachal Pradesh,Kra Daadi,27.920692066666664,93.66156093333332
Arunachal Pradesh,Kurung Kumey,27.740899223972605,93.37315966232877
Arunachal Pradesh,Leparada,27.98350826,94.72081946
Arunachal Pradesh,Lohit,27.699535768571426,96.11004851999999
Arunachal Pradesh,Longding,26.878990170588235,95.24073358529412
Arunachal Pradesh,Lower Dibang Valley,28.11327269666667,95.77881437555556
Arunachal Pradesh,Lower Siang,27.582109071428572,94.52711736285714
Arunachal Pradesh,Lower Subansiri,27.40692414962963,92.40418634944444
Arunachal Pradesh,Namsai,27.552921536756756,95.85056447675676
